application_id,job_id,candidate_name,application_date,stage,hired_employee_id
1,9,Patricia Le,2025-02-17,Offer,
2,9,Jesse Perez,2024-02-23,Applied,
3,6,Jesse Perry,2025-01-06,Interview,
4,7,Jeffery Ortega,2024-06-05,Interview,
5,6,Christian Leblanc,2025-05-29,Interview,
6,14,Ronald Davis,2024-03-03,Hired,7
7,1,Parker Cain,2025-08-16,Interview,
8,14,Laurie Hoffman,2024-02-18,Applied,
9,17,Bryan Gomez,2024-11-07,Applied,
10,10,Nicole Parrish,2024-08-07,Interview,
11,28,Tracy Burke,2023-08-08,Interview,
12,17,Kenneth Lewis,2025-04-04,Applied,
13,21,Courtney Rodriguez,2025-12-19,Applied,
14,13,Holly Farmer,2024-11-22,Applied,
15,6,Renee Bruce,2025-04-28,Interview,
16,16,Sabrina Austin,2025-10-07,Applied,
17,26,Allison Hickman,2026-01-12,Hired,21
18,19,Debra White,2025-03-11,Applied,
19,5,Ellen Morgan,2024-12-03,Interview,
20,1,Sergio Knight,2024-02-02,Hired,167
21,16,Charles Schultz,2025-08-16,Rejected,
22,23,Paul Lewis,2026-02-03,Hired,198
23,9,Glen Wood,2025-05-28,Offer,
24,22,Paula Bradley,2025-04-30,Rejected,
25,19,Anthony Moore,2025-05-29,Rejected,
26,16,Megan Nelson,2024-03-08,Rejected,
27,11,Karla Ramos,2024-05-24,Interview,
28,6,Paul Wilson,2024-09-09,Hired,177
29,5,Douglas Gregory,2025-02-10,Hired,1
30,29,Mr. Andrew Foster,2025-03-24,Applied,
31,9,Aimee Turner,2023-07-19,Interview,
32,25,Chad Scott,2025-05-21,Applied,
33,25,Adam Burgess,2026-01-06,Offer,
34,3,James Padilla,2024-10-31,Interview,
35,25,Sandra Drake,2026-01-05,Interview,
36,11,Scott Williams,2024-12-09,Applied,
37,7,Thomas Atkins,2025-03-19,Applied,
38,24,Laura Mckinney,2025-12-30,Interview,
39,23,Brian Smith,2024-07-07,Rejected,
40,30,Robert Montgomery,2026-04-25,Applied,
41,12,Tamara Davis,2023-08-03,Rejected,
42,23,Dana Chapman,2025-06-08,Applied,
43,14,Jennifer Collins,2025-04-10,Applied,
44,12,Gary Jackson,2024-10-18,Offer,
45,16,Ashley Hicks,2023-11-04,Applied,
46,20,Hannah Luna,2024-12-17,Applied,
47,22,Robin Young,2024-07-30,Interview,
48,3,Craig Morrison,2023-09-04,Hired,50
49,28,Mary Thompson,2025-11-30,Applied,
50,26,Kathleen Webster,2024-01-07,Applied,
51,16,Joann Glass,2025-01-07,Hired,85
52,22,Madison Weber,2024-03-07,Rejected,
53,12,Lori Hernandez,2026-01-24,Interview,
54,8,Jeremy Turner,2023-09-06,Interview,
55,15,Anthony Romero,2026-02-19,Rejected,
56,11,Jesse Brown,2025-04-26,Offer,
57,7,Angela Lin,2024-09-04,Rejected,
58,20,Lisa Hunter,2024-03-30,Interview,
59,24,Julian Conner,2024-05-04,Interview,
60,20,Joanna Pacheco,2024-10-22,Rejected,
61,28,Erica Alvarez,2025-09-24,Hired,115
62,27,Antonio Garcia,2025-07-01,Hired,170
63,8,Gwendolyn Klein,2026-01-17,Rejected,
64,22,Carrie Wright,2025-12-17,Rejected,
65,27,Jeffrey Mills,2025-09-25,Hired,192
66,30,Jake Campbell,2023-08-01,Offer,
67,28,George Harper,2024-06-22,Applied,
68,18,Maria Jones,2025-05-01,Rejected,
69,19,Michael Mitchell,2024-04-30,Interview,
70,1,Mary Escobar,2024-06-18,Interview,
71,2,Felicia Aguilar,2023-07-03,Interview,
72,28,Gregory Ponce,2024-08-21,Applied,
73,28,Jenna Larson,2025-04-28,Rejected,
74,28,Emily Bennett,2025-03-26,Offer,
75,12,Robin Santiago,2024-01-14,Interview,
76,20,Nancy Jennings,2025-01-30,Applied,
77,9,Maria Henderson,2024-02-24,Rejected,
78,6,Jack White,2024-10-18,Rejected,
79,27,Travis Tucker,2024-11-22,Applied,
80,16,Chad Jones,2026-03-05,Applied,
81,25,Ashley Wise,2025-08-28,Applied,
82,24,Sophia Johnson,2025-07-26,Applied,
83,13,Ralph Anderson,2026-05-30,Interview,
84,18,Christopher Guerra,2025-09-02,Interview,
85,1,Rhonda Martin,2024-09-09,Applied,
86,12,Jason Rhodes,2023-11-03,Interview,
87,22,Jeremy Mitchell,2025-05-11,Offer,
88,16,Joann Ferguson,2024-08-14,Rejected,
89,13,Robert Harrison,2025-12-30,Rejected,
90,14,Holly Valentine,2025-09-13,Offer,
91,7,Mrs. Diane Reyes,2025-02-01,Interview,
92,6,Tracy Montoya,2023-07-12,Interview,
93,5,Brenda Wright,2025-11-16,Applied,
94,11,Shelly Spencer,2026-03-15,Applied,
95,8,Ryan Rosales,2026-05-08,Applied,
96,8,Phillip Nelson,2025-01-15,Applied,
97,3,Brittany Kim,2025-07-25,Applied,
98,2,Courtney Hayes,2023-12-04,Interview,
99,13,Alexander Brown,2024-01-07,Applied,
100,10,Cynthia Vang,2026-01-15,Interview,
101,28,Alfred Galvan,2024-01-22,Rejected,
102,12,Marie Moody,2023-10-08,Interview,
103,2,Dustin Gallegos,2026-01-08,Applied,
104,4,Brenda Thornton,2025-05-26,Applied,
105,10,Aaron Miller,2026-02-19,Hired,180
106,12,Ruben Dunn,2024-05-09,Rejected,
107,29,Kelsey Rodriguez,2025-05-30,Rejected,
108,21,Eric Williams,2023-12-02,Applied,
109,3,Riley Bryant,2025-12-31,Rejected,
110,4,Taylor Carlson,2023-08-06,Hired,12
111,6,Jose Allen,2025-04-02,Applied,
112,21,Jeffrey Mendez,2023-12-22,Applied,
113,23,Jason Beck,2023-10-24,Applied,
114,9,William Jones,2025-07-19,Interview,
115,6,Katie Mcneil,2026-01-26,Rejected,
116,25,Jeanette Harrison,2024-12-26,Applied,
117,2,Veronica King,2025-11-25,Applied,
118,1,Richard Cooper,2025-04-13,Applied,
119,21,Lori Ingram,2025-07-17,Interview,
120,3,Evelyn Williams,2023-08-18,Interview,
121,7,Robin Thompson,2025-06-12,Rejected,
